id,last_scraped,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,host_is_superhost,instant_bookable,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
995909075819284202,2023-12-14,Downtown,49.2746415,-123.1151479,Entire home/apt,4,1 bath,2,$120.00,30,FALSE,FALSE,0,NA,333,1
995975121236852447,2023-12-14,Marpole,49.2123666,-123.1284158,Entire home/apt,2,1 bath,1,$112.00,1,FALSE,FALSE,1,5,0,1
995998637395824376,2023-12-14,Downtown,49.2853077,-123.1182531,Private room,2,1 private bath,1,$133.00,1,TRUE,TRUE,0,NA,178,1
996429589773324315,2023-12-13,Sunset,49.22112668859035,-123.09394743119456,Private room,2,1.5 shared baths,1,$51.00,1,FALSE,TRUE,4,4.5,63,2
996513617663159046,2023-12-14,Sunset,49.22395677726958,-123.10444652887682,Entire home/apt,6,2 baths,3,$40.00,1,TRUE,FALSE,7,5,69,3
996584173231072563,2023-12-14,Downtown,49.28073357417941,-123.12379732786972,Entire home/apt,4,1 bath,2,$174.00,1,FALSE,FALSE,13,4.92,28,1
996726509410904870,2023-12-14,South Cambie,49.25045,-123.11646,Entire home/apt,4,2 baths,2,$200.00,28,FALSE,FALSE,0,NA,89,2
997243378260024440,2023-12-13,Sunset,49.22496,-123.09952,Private room,2,1 bath,1,$110.00,1,FALSE,TRUE,0,NA,88,7
997272482343699544,2023-12-14,Hastings-Sunrise,49.28846,-123.05485,Entire home/apt,8,4 baths,5,NA,4,TRUE,FALSE,0,NA,0,2
997354568589681655,2023-12-13,South Cambie,49.24813049521117,-123.11588656157254,Private room,2,1 bath,1,$95.00,1,TRUE,FALSE,7,4.71,185,2
997445598498796546,2023-12-14,Downtown,49.27381921145305,-123.1199869283689,Entire home/apt,4,1 bath,2,$260.00,14,FALSE,FALSE,1,1,0,1
997766822707863016,2023-12-14,Riley Park,49.2492,-123.11483,Entire home/apt,4,4.5 baths,3,$395.00,30,FALSE,FALSE,0,NA,267,1
997857095134057758,2023-12-14,Downtown Eastside,49.283750994433326,-123.10424265188756,Entire home/apt,2,1 bath,1,$107.00,30,FALSE,FALSE,0,NA,129,1
998574105131230683,2023-12-14,Downtown,49.2771293,-123.1286393,Entire home/apt,4,2 baths,2,$169.00,30,FALSE,FALSE,0,NA,92,1
998633217297969735,2023-12-13,Grandview-Woodland,49.27046,-123.07589,Private room,2,1.5 baths,1,$150.00,3,FALSE,FALSE,0,NA,297,1
998678674679326156,2023-12-14,Kensington-Cedar Cottage,49.24614,-123.05712,Entire home/apt,4,1 bath,2,$126.00,2,TRUE,FALSE,6,4.83,16,5
998731911508631217,2023-12-14,Renfrew-Collingwood,49.2334630416653,-123.02859125774368,Entire home/apt,6,1 bath,3,$135.00,1,FALSE,TRUE,1,5,339,1
998810634627288225,2023-12-14,Downtown,49.277858000622615,-123.1092522737702,Entire home/apt,6,2 baths,3,$266.00,7,FALSE,TRUE,1,5,223,1
998935696435191173,2023-12-14,Oakridge,49.22487688333826,-123.11764875820396,Entire home/apt,2,1 bath,1,$125.00,2,FALSE,TRUE,0,NA,17,2
999302847719165315,2023-12-13,Killarney,49.2065,-123.03016,Entire home/apt,5,2 baths,3,$99.00,30,FALSE,TRUE,0,NA,227,134
999404391364888660,2023-12-14,Marpole,49.20446,-123.14211,Entire home/apt,3,1 bath,1,$150.00,30,FALSE,TRUE,0,NA,269,1
999464772741113053,2023-12-13,Dunbar Southlands,49.23796412754354,-123.1840610418084,Private room,4,2 baths,2,$300.00,1,FALSE,FALSE,0,NA,269,2
999621461055442834,2023-12-13,Renfrew-Collingwood,49.25190737494194,-123.03470782995517,Private room,1,1 shared bath,1,$42.00,30,FALSE,FALSE,0,NA,100,6
999878896861650743,2023-12-14,Kerrisdale,49.23019,-123.14222,Private room,2,1 bath,1,$58.00,30,TRUE,FALSE,0,NA,15,4
999954454346118627,2023-12-14,Marpole,49.20871723030312,-123.13920371450556,Entire home/apt,8,1 bath,5,$157.00,2,FALSE,TRUE,3,5,46,1
1000013089813316590,2023-12-14,West End,49.28892,-123.13395,Entire home/apt,6,1 bath,3,NA,30,TRUE,TRUE,13,4.46,0,3
